COUNTY,monthly_rent
Adams County,$891
Asotin County,$930
Benton County,$998
Chelan County,"$1,008"
Clallam County,"$1,153"
Clark County,"$1,318"
Columbia County,$932
Cowlitz County,"$1,020"
Douglas County,"$1,008"
Ferry County,$891
Franklin County,$998
Garfield County,$932
Grant County,$920
Grays Harbor County,$976
Island County,"$1,417"
Jefferson County,"$1,223"
King County,"$1,662"
Kitsap County,"$1,318"
Kittitas County,"$1,033"
Klickitat County,$983
Lewis County,$995
Lincoln County,$891
Mason County,"$1,052"
Okanogan County,$941
Pacific County,$953
Pend Oreille County,$891
Pierce County *,"$1,483"
San Juan County,"$1,311"
Skagit County,"$1,290"
Skamania County,"$1,318"
Snohomish County,"$1,662"
Spokane County,"$1,004"
Stevens County,$910
Thurston County,"$1,308"
Wahkiakum County,"$1,021"
Walla Walla County,$992
Whatcom County,"$1,237"
Whitman County,$978
Yakima County,"$1,030"
