COUNTY,monthly_rent
Adams County,$789
Asotin County,$885
Benton County,"$1,015"
Chelan County,$983
Clallam County,"$1,135"
Clark County,"$1,297"
Columbia County,$789
Cowlitz County,"$1,017"
Douglas County,$983
Ferry County,$784
Franklin County,"$1,015"
Garfield County,$789
Grant County,$815
Grays Harbor County,$967
Island County,"$1,307"
Jefferson County,"$1,280"
King County,"$1,551"
Kitsap County,"$1,339"
Kittitas County,"$1,064"
Klickitat County,$861
Lewis County,"$1,014"
Lincoln County,$898
Mason County,"$1,076"
Okanogan County,$884
Pacific County,$976
Pend Oreille County,$875
Pierce County *,"$1,354"
San Juan County,"$1,329"
Skagit County,"$1,259"
Skamania County,"$1,297"
Snohomish County,"$1,551"
Spokane County,"$1,037"
Stevens County,$888
Thurston County,"$1,304"
Wahkiakum County,"$1,021"
Walla Walla County,"$1,025"
Whatcom County,"$1,240"
Whitman County,"$1,010"
Yakima County,$919
