COUNTY,monthly_rent
Adams County,$419
Asotin County,$425
Benton County,$566
Chelan County,$453
Clallam County,$507
Clark County,$682
Columbia County,$427
Cowlitz County,$460
Douglas County,$453
Ferry County,$466
Franklin County,$566
Garfield County,$419
Grant County,$481
Grays Harbor County,$454
Island County,$574
Jefferson County,$540
King County,$972
Kitsap County,$607
Kittitas County,$548
Klickitat County,$443
Lewis County,$459
Lincoln County,$419
Mason County,$522
Okanogan County,$480
Pacific County,$456
Pend Oreille County,$408
Pierce County *,$689
San Juan County,$759
Skagit County,$661
Skamania County,$682
Snohomish County,$972
Spokane County,$467
Stevens County,$490
Thurston County,$769
Wahkiakum County,$419
Walla Walla County,$477
Whatcom County,$613
Whitman County,$465
Yakima County,$490
