COUNTY,monthly_rent
Adams County,$919
Asotin County,"$1,133"
Benton County,"$1,182"
Chelan County,"$1,160"
Clallam County,"$1,188"
Clark County,"$1,583"
Columbia County,"$1,112"
Cowlitz County,"$1,163"
Douglas County,"$1,160"
Ferry County,$919
Franklin County,"$1,182"
Garfield County,"$1,112"
Grant County,$945
Grays Harbor County,"$1,003"
Island County,"$1,710"
Jefferson County,"$1,258"
King County,"$2,030"
Kitsap County,"$1,440"
Kittitas County,"$1,072"
Klickitat County,"$1,012"
Lewis County,"$1,041"
Lincoln County,$919
Mason County,"$1,246"
Okanogan County,"$1,036"
Pacific County,$991
Pend Oreille County,$919
Pierce County *,"$1,669"
San Juan County,"$1,601"
Skagit County,"$1,610"
Skamania County,"$1,583"
Snohomish County,"$2,030"
Spokane County,"$1,138"
Stevens County,$993
Thurston County,"$1,582"
Wahkiakum County,"$1,171"
Walla Walla County,"$1,023"
Whatcom County,"$1,394"
Whitman County,"$1,198"
Yakima County,"$1,086"
