COUNTY,monthly_rent
Adams County,$874
Asotin County,$850
Benton County,"$1,029"
Chelan County,"$1,030"
Clallam County,"$1,397"
Clark County,"$1,344"
Columbia County,$913
Cowlitz County,"$1,042"
Douglas County,"$1,030"
Ferry County,$940
Franklin County,"$1,029"
Garfield County,$780
Grant County,"$1,026"
Grays Harbor County,$961
Island County,"$1,289"
Jefferson County,"$1,186"
King County,"$1,627"
Kitsap County,"$1,341"
Kittitas County,"$1,220"
Klickitat County,$920
Lewis County,"$1,090"
Lincoln County,$899
Mason County,"$1,190"
Okanogan County,$863
Pacific County,"$1,001"
Pend Oreille County,$904
Pierce County *,"$1,421"
San Juan County,"$1,238"
Skagit County,"$1,262"
Skamania County,"$1,344"
Snohomish County,"$1,627"
Spokane County,"$1,113"
Stevens County,$928
Thurston County,"$1,394"
Wahkiakum County,$869
Walla Walla County,"$1,004"
Whatcom County,"$1,306"
Whitman County,"$1,104"
Yakima County,$935
