COUNTY,monthly_rent
Adams County,$936
Asotin County,$933
Benton County,"$1,127"
Chelan County,"$1,052"
Clallam County,"$1,143"
Clark County,"$1,757"
Columbia County,"$1,166"
Cowlitz County,"$1,090"
Douglas County,"$1,052"
Ferry County,$959
Franklin County,"$1,127"
Garfield County,$959
Grant County,$956
Grays Harbor County,"$1,183"
Island County,"$1,434"
Jefferson County,"$1,253"
King County,"$2,220"
Kitsap County,"$1,454"
Kittitas County,"$1,282"
Klickitat County,"$1,125"
Lewis County,"$1,139"
Lincoln County,$827
Mason County,"$1,293"
Okanogan County,$952
Pacific County,"$1,128"
Pend Oreille County,"$1,014"
Pierce County *,"$1,641"
San Juan County,"$1,379"
Skagit County,"$1,331"
Skamania County,"$1,757"
Snohomish County,"$2,220"
Spokane County,"$1,143"
Stevens County,$897
Thurston County,"$1,488"
Wahkiakum County,$959
Walla Walla County,"$1,221"
Whatcom County,"$1,326"
Whitman County,"$1,146"
Yakima County,"$1,039"
