COUNTY,monthly_rent
Adams County,$793 
Asotin County,$889 
Benton County,"$1,018 "
Chelan County,"$1,320 "
Clallam County,$892 
Clark County,"$1,018 "
Columbia County,$890 
Cowlitz County,"$1,007 "
Douglas County,"$1,365 "
Ferry County,"$1,084 "
Franklin County,"$1,366 "
Garfield County,$808 
Grant County,$942 
Grays Harbor County,$963 
Island County,$827 
Jefferson County,"$1,275 "
King County,"$1,359 "
Kitsap County,$853 
Kittitas County,"$1,655 "
Klickitat County,"$1,126 "
Lewis County,"$1,472 "
Lincoln County,$977 
Mason County,"$1,006 "
Okanogan County,$810 
Pacific County,"$1,655 "
Pend Oreille County,"$1,057 "
Pierce County *,"$1,007 "
San Juan County,$979 
Skagit County,$930 
Skamania County,"$1,281 "
Snohomish County,$938 
Spokane County,"$1,359 "
Stevens County,"$1,115 "
Thurston County,"$1,127 "
Wahkiakum County,$838 
Walla Walla County,"$1,171 "
Whatcom County,$914 
Whitman County,"$1,039 "
Yakima County,$793 
